Name,Categories,Tags,File URL,Direct URL,Featured Image URL,File Size,Excerpt,Content,Published,cf:custom_field_1,cf:custom_field_2
"May 13, 2020 - Assessor Minutes",Assessor Minutes,,https://cretetownship.com/wp-content/uploads/2020/05/assessor-board-meeting-5-13-2020.pdf,,,,,,,,
"April 8, 2020 - Assessor Minutes",Assessor Minutes,,https://cretetownship.com/wp-content/uploads/2020/04/Assessor-Board-Meeting-4-8-2020.pdf,,,,,,,,
"March 11, 2020 - Assessor Minutes",Assessor Minutes,,https://cretetownship.com/wp-content/uploads/2020/03/OFFICE-OF-THE-ASSESSOR-3-11-2020.pdf,,,,,,,,
"January 8, 2020 - Assessor Minutes",Assessor Minutes,,https://cretetownship.com/wp-content/uploads/2020/01/assessor-board-meeting-1-8-2020.pdf,,,,,,,,
"December 11, 2019 - Assessor Minutes",Assessor Minutes,,https://cretetownship.com/wp-content/uploads/2019/03/Office-of-the-Assessor-12-11-2019.pdf,,,,,,,,
"November 13, 2019 - Assessor Minutes",Assessor Minutes,,https://cretetownship.com/wp-content/uploads/2019/08/Assessor-board-meeting-11-13-2019.pdf,,,,,,,,
"October 9, 2019 - Assessor Minutes",Assessor Minutes,,https://cretetownship.com/wp-content/uploads/2019/08/Assessor-Report-10-9-2019.pdf,,,,,,,,
"Septemnber 11, 2019 - Assessor Minutes",Assessor Minutes,,https://cretetownship.com/wp-content/uploads/2019/08/assessors-report-9-11-19.pdf,,,,,,,,
"August 13, 2019 - Assessor Minutes",Assessor Minutes,,https://cretetownship.com/wp-content/uploads/2019/09/assessor-8-14-2019.pdf,,,,,,,,
"July 10, 2019 - Assessor Minutes",Assessor Minutes,,https://cretetownship.com/wp-content/uploads/2019/03/Office-of-the-Accessor-7-10-2019.pdf,,,,,,,,
"June 12, 2019 - Assessor Minutes",Assessor Minutes,,https://cretetownship.com/wp-content/uploads/2019/03/Assessor-board-meeting-6-12-2019.pdf,,,,,,,,
"May 8, 2019 - Assessor Minutes",Assessor Minutes,,https://cretetownship.com/wp-content/uploads/2019/03/Assessor-Board-Meeting-5-8-2019-1.pdf,,,,,,,,
"April 10, 2019 - Assessor Minutes",Assessor Minutes,,https://cretetownship.com/wp-content/uploads/2019/03/Assessor-Board-Meeting-4-10-2019-1.pdf,,,,,,,,
"March 13, 2019 - Assessor Minutes",Assessor Minutes,,https://cretetownship.com/wp-content/uploads/2019/03/Assessor-board-meeting-3-13-2019-2.pdf,,,,,,,,
"January 9, 2019 - Assessor Minutes",Assessor Minutes,,https://cretetownship.com/wp-content/uploads/2019/01/Assessor-report-1-9-2019.pdf,,,,,,,,
"November 14, 2018 - Assessor Minutes",Assessor Minutes,,https://cretetownship.com/wp-content/uploads/2018/05/Assessor-board-meeting-11-14-2018.pdf,,,,,,,,
"May 11, 2022 - Assessor Minutes",Assessor Minutes,,https://cretetownship.com/wp-content/uploads/2022/06/HIGHWAY-COMMISSIONERS-REPORT-5-11-2022.pdf,,,,,,,,
"April 13, 2020 - Highway Commissioners Report",Highway Commissioners Report,,https://cretetownship.com/wp-content/uploads/2022/05/Highway-Commissioners-4-13-2022.pdf,,,,,,,,
"February 9, 2022 - Highway Commissioners Report",Highway Commissioners Report,,https://cretetownship.com/wp-content/uploads/2022/03/Highway-Commissioners-Report-2-9-2022.pdf,,,,,,,,
"January 12, 2022 - Highway Commissioners Report",Highway Commissioners Report,,https://cretetownship.com/wp-content/uploads/2022/02/Highway-Commissioners-report-1-12-2022.pdf,,,,,,,,
"September 9, 2020 - Highway Commissioners Report",Highway Commissioners Report,,https://cretetownship.com/wp-content/uploads/2020/03/Highway-Commissioners-Report-9-9-2020.pdf,,,,,,,,
"August 12, 2020 - Highway Commissioners Report",Highway Commissioners Report,,https://cretetownship.com/wp-content/uploads/2020/08/Highway-Commissioners-report-8-12-2020-1.pdf,,,,,,,,
"July 8, 2020 - Highway Commissioners Report",Highway Commissioners Report,,https://cretetownship.com/wp-content/uploads/2020/07/Highway-Commissioners-7-8-2020.pdf,,,,,,,,
"June 10, 2020 - Highway Commissioners Report",Highway Commissioners Report,,https://cretetownship.com/wp-content/uploads/2020/06/Highway-Monthly-Report-6-10-2020.pdf,,,,,,,,
"May 13, 2020 - Highway Commissioners Report",Highway Commissioners Report,,https://cretetownship.com/wp-content/uploads/2020/05/Highway-Commissioners-report-5-13-2020.pdf,,,,,,,,
"April 8, 2020 - Highway Commissioners Report",Highway Commissioners Report,,https://cretetownship.com/wp-content/uploads/2020/04/Highway-Commissioners-Report-4-8-2020.pdf,,,,,,,,
"March 11, 2020 - Highway Commissioners Report",Highway Commissioners Report,,https://cretetownship.com/wp-content/uploads/2020/03/HIGHWAY-COMMISSIONERS-REPORT-3-11-2020.pdf,,,,,,,,
"February 12, 2020 - Highway Commissioners Report",Highway Commissioners Report,,https://cretetownship.com/wp-content/uploads/2020/03/Highway-Commissioners-Report-2-12-2020-2.pdf,,,,,,,,
"January 8, 2020 - Highway Commissioners Report",Highway Commissioners Report,,https://cretetownship.com/wp-content/uploads/2020/01/Highway-Commissioners-report-1-8-2020.pdf,,,,,,,,
"December 11, 2019 - Highway Commissioners Report",Highway Commissioners Report,,https://cretetownship.com/wp-content/uploads/2019/03/Highway-Commissioners-Report-12-11-2019.pdf,,,,,,,,
